answer,id
202001,0
202002,1
202003,2
202004,3
202005,4
202006,5
202007,6
202008,7
202009,8
202010,9
98,10
67,11
84,12
88,13
78,14
90,15
93,16
75,17
82,18
87,19
92,20
80,21
73,22
76,23
88,24
78,25
90,26
82,27
77,28
69,29
88,30
79,31
90,32
73,33
79,34
83,35
81,36
91,37
71,38
78,39
278,40
226,41
247,42
237,43
245,44
251,45
264,46
248,47
230,48
234,49
92,50
75,51
82,52
79,53
81,54
83,55
88,56
82,57
76,58
78,59
98,60
80,61
90,62
88,63
88,64
90,65
93,66
91,67
82,68
87,69
88,70
67,71
73,72
73,73
78,74
78,75
81,76
75,77
71,78
69,79
10,80
13,81
17,82
15,83
10,84
12,85
12,86
16,87
11,88
18,89
16,90
34,91
49,92
42,93
20,94
24,95
26,96
42,97
20,98
54,99
